Grade,Subject,Course,Key,Text,Keywords
HS,Math,Algebra I,11.b,"Analyze data and represent situations involving inverse variation using concrete models, tables, graphs, or algebraic methods; and ","formula, equation, graph, coordinate, "
HS,Math,Algebra I,11.c,"Analyze data and represent situations involving exponential growth and decay using concrete models, tables, graphs, or algebraic methods. ","analy, exponent, equation, "
HS,Math,Algebra II,1,Foundations for functions. The student uses properties and attributes of functions and applies functions to problem situations. The student is expected to: ,"equation, basic, "
HS,Math,Algebra II,1.a,Identify the mathematical domains and ranges of functions and determine reasonable domain and range values for continuous and discrete situations; and ,"ratio, graph, measure, "
HS,Math,Algebra II,1.b,"Collect and organize data, make and interpret scatterplots, fit the graph of a function to the data, interpret the results, and proceed to model, predict, and make decisions and critical judgments. ","diagram, Cartes, variable, line, point, "
HS,Math,Algebra II,2,Foundations for functions. The student understands the importance of the skills required to manipulate symbols in order to solve problems and uses the necessary algebraic skills required to simplify algebraic expressions and solve equations and inequalities in problem situations. The student is expected to: ,
HS,Math,Algebra II,2.a,Use tools including factoring and properties of exponents to simplify expressions and to transform and solve equations; and ,"polynom, exponen, factor, equation, "
HS,Math,Algebra II,2.b,Use complex numbers to describe the solutions of quadratic equations. ,"polynom, equation, "
HS,Math,Algebra II,3,"Foundations for functions. The student formulates systems of equations and inequalities from problem situations, uses a variety of methods to solve them, and analyzes the solutions in terms of the situations. The student is expected to: ",
HS,Math,Algebra II,3.a,Analyze situations and formulate systems of equations in two or more unknowns or inequalities in two unknowns to solve problems; ,"multiple, variables, "
HS,Math,Algebra II,3.b,"Use algebraic methods, graphs, tables, or matrices, to solve systems of equations or inequalities; and ","graph, hyperbola, circle, "
HS,Math,Algebra II,3.c,Interpret and determine the reasonableness of solutions to systems of equations or inequalities for given contexts. ,"apply, graph, equation, "
HS,Math,Algebra II,4,Algebra and geometry. The student connects algebraic and geometric representations of functions. The student is expected to: ,"graph, "
HS,Math,Algebra II,4.a,"Identify and sketch graphs of parent functions, including linear (f (x) = x), quadratic (f (x) = x2), exponential (f (x) = ax), and logarithmic (f (x) = logax) functions, absolute value of x (f (x) = |x|), square root of x (f (x) = ‰ö_x), and reciprocal of x (f (x) = 1/x); ","line, graph, point, equation, "
HS,Math,Algebra II,4.b,Extend parent functions with parameters such as a in f (x) = a/x and describe the effects of the parameter changes on the graph of parent functions; and ,
HS,Math,Algebra II,4.c,Describe and analyze the relationship between a function and its inverse. ,"graph, plot, point, line, "
HS,Math,Algebra II,5,Algebra and geometry. The student knows the relationship between the geometric and algebraic descriptions of conic sections. The student is expected to: ,"curve, cone, graph, "
HS,Math,Algebra II,5.a,Describe a conic section as the intersection of a plane and a cone; ,
HS,Math,Algebra II,5.b,Sketch graphs of conic sections to relate simple parameter changes in the equation to corresponding changes in the graph; ,"draw, plot, similar, differ, angle, "
HS,Math,Algebra II,5.c,Identify symmetries from graphs of conic sections; ,"similar, compare, contrast, "
HS,Math,Algebra II,5.d,Identify the conic section from a given equation; and ,"curve, angle, "
HS,Math,Algebra II,5.e,Use the method of completing the square. ,
HS,Math,Algebra II,6,Quadratic and square root functions. The student understands that quadratic functions can be represented in different ways and translates among their various representations. The student is expected to: ,
HS,Math,Algebra II,6.a,"Determine the reasonable domain and range values of quadratic functions, as well as interpret and determine the reasonableness of solutions to quadratic equations and inequalities; ","parabola, axis, symmetry, degree, "
HS,Math,Algebra II,6.b,"Relate representations of quadratic functions, such as algebraic, tabular, graphical, and verbal descriptions; and ","graph, equation, degree, "
HS,Math,Algebra II,6.c,Determine a quadratic function from its roots (real and complex) or a graph. ,"linear, constant, variable, degree, coefficient, "
HS,Math,Algebra II,7,Quadratic and square root functions. The student interprets and describes the effects of changes in the parameters of quadratic functions in applied and mathematical situations. The student is expected to: ,"practice , graph, everyday, "
HS,Math,Algebra II,7.a,Use characteristics of the quadratic parent function to sketch the related graphs and connect between the y = ax2 + bx + c and the y = a (x - h)2 + k symbolic representations of quadratic functions; and ,"equation, constant, square, degree, "
HS,Math,Algebra II,7.b,"Use the parent function to investigate, describe, and predict the effects of changes in a, h, and k on the graphs of y = a (x - h)2 + k form of a function in applied and purely mathematical situations. ","axis, graph, degree, equation, "
HS,Math,Algebra II,8,"Quadratic and square root functions. The student formulates equations and inequalities based on quadratic functions, uses a variety of methods to solve them, and analyzes the solutions in terms of the situation. The student is expected to: ","general, factored, vertex, coefficient, "
HS,Math,Algebra II,8.a,Analyze situations involving quadratic functions and formulate quadratic equations or inequalities to solve problems; ,"graph, angle, axis, coefficient, "
HS,Math,Algebra II,8.b,Analyze and interpret the solutions of quadratic equations using discriminants and solve quadratic equations using the quadratic formula; ,"analy, multipl, root, "
HS,Math,Algebra II,8.c,Compare and translate between algebraic and graphical solutions of quadratic equations; and ,"polynom, n - , "
HS,Math,Algebra II,8.d,"Solve quadratic equations and inequalities using graphs, tables, and algebraic methods. ","graph, polynom, equation, "
HS,Math,Algebra II,9,"Quadratic and square root functions. The student formulates equations and inequalities based on square root functions, uses a variety of methods to solve them, and analyzes the solutions in terms of the situation. The student is expected to: ","graph, equation, polynom, "
HS,Math,Algebra II,9.a,"Use the parent function to investigate, describe, and predict the effects of parameter changes on the graphs of square root functions and describe limitations on the domains and ranges; ","constant, variable, degree, coefficient, parameter, "
HS,Math,Algebra II,9.b,"Relate representations of square root functions, such as algebraic, tabular, graphical, and verbal descriptions; ","graph, explain, equation, exponent, "
HS,Math,Algebra II,9.c,"Determine the reasonable domain and range values of square root functions, as well as interpret and determine the reasonableness of solutions to square root equations and inequalities; ","graph, degree, exponent, "
HS,Math,Algebra II,9.d,"Determine solutions of square root equations using graphs, tables, and algebraic methods; ","equation, variable, "
HS,Math,Algebra II,9.e,Determine solutions of square root inequalities using graphs and tables; ,"linear, degree, analy, "
HS,Math,Algebra II,9.f,"Analyze situations modeled by square root functions, formulate equations or inequalities, select a method, and solve problems; and ","exponent, degree, equation, "
HS,Math,Algebra II,9.g,Connect inverses of square root functions with quadratic functions. ,"root , function, "
HS,Math,Algebra II,10,"Rational functions. The student formulates equations and inequalities based on rational functions, uses a variety of methods to solve them, and analyzes the solutions in terms of the situation. The student is expected to: ","polynom, zero, domain, degree, "
HS,Math,Algebra II,10.a,"Use quotients of polynomials to describe the graphs of rational functions, predict the effects of parameter changes, describe limitations on the domains and ranges, and examine asymptotic behavior; ","graph, degree, range, coefficient, "
HS,Math,Algebra II,10.b,Analyze various representations of rational functions with respect to problem situations; ,"graph, line, degree, "
HS,Math,Algebra II,10.c,"Determine the reasonable domain and range values of rational functions, as well as interpret and determine the reasonableness of solutions to rational equations and inequalities; ","equation, degree, "
HS,Math,Algebra II,10.d,"Determine the solutions of rational equations using graphs, tables, and algebraic methods; ","graph, table, equation, "
HS,Math,Algebra II,10.e,Determine solutions of rational inequalities using graphs and tables; ,"numerator, denominator, divide, "
HS,Math,Algebra II,10.f,"Analyze a situation modeled by a rational function, formulate an equation or inequality composed of a linear or quadratic function, and solve the problem; and ","analy, polynom, linear, graph, "
HS,Math,Algebra II,10.g,Use functions to model and make predictions in problem situations involving direct and inverse variation. ,"linear, quadratic, variable, square root, "
HS,Math,Algebra II,11,"Exponential and logarithmic functions. The student formulates equations and inequalities based on exponential and logarithmic functions, uses a variety of methods to solve them, and analyzes the solutions in terms of the situation. The student is expected to: ",
HS,Math,Algebra II,11.a,Develop the definition of logarithms by exploring and describing the relationship between exponential functions and their inverses; ,"exponent, derivative, independent, dependent, variable, "
HS,Math,Algebra II,11.b,"Use the parent functions to investigate, describe, and predict the effects of parameter changes on the graphs of exponential and logarithmic functions, describe limitations on the domains and ranges, and examine asymptotic behavior; ","limit, function, ordinary, partial, nondimensional, "
HS,Math,Algebra II,11.c,"Determine the reasonable domain and range values of exponential and logarithmic functions, as well as interpret and determine the reasonableness of solutions to exponential and logarithmic equations and inequalities; ","coordinate, curve, exponent, line, "
HS,Math,Algebra II,11.d,"Determine solutions of exponential and logarithmic equations using graphs, tables, and algebraic methods; ","positive, negative, coordinate, line, variable, "
HS,Math,Algebra II,11.e,Determine solutions of exponential and logarithmic inequalities using graphs and tables; and ,"intersect, line, coordinate, inequal, calcula, "
HS,Math,Algebra II,11.f,"Analyze a situation modeled by an exponential function, formulate an equation or inequality, and solve the problem. ","analy, cooridinate, curve, line, equation, "
HS,Science,Biology,1,"Scientific processes. The student, for at least 40% of instructional time, conducts laboratory and field investigations using safe, environmentally appropriate, and ethical practices. ","lab, "
HS,Science,Biology,1.a,Demonstrate safe practices during laboratory and field investigations; ,"lab, safety, "
HS,Science,Biology,1.b,Demonstrate an understanding of the use and conservation of resources and the proper disposal or recycling of materials. ,
HS,Science,Biology,2.a,Scientific processes. The student uses scientific methods and equipment during laboratory and field investigations. ,"hypothesis, "
HS,Science,Biology,2.b,"Understand the following definition of science: Science, as defined by the National Academy of Sciences, is the ""use of evidence to construct testable explanations and predictions of natural phenomena, as well as the knowledge generated through this process."" This vast body of changing and increasing knowledge is described by physical, mathematical, and conceptual models. Students should know that some questions are outside the realm of science because they deal with phenomena that are not scientifically testable. ","NAS, "
HS,Science,Biology,2.c,"Know scientific theories are based on natural and physical phenomena and are capable of being tested by multiple independent researchers. Unlike hypotheses, scientific theories are well-established and highly-reliable explanations, but they may be subject to change as new areas of science and new technologies are developed ","evolution, "
HS,Science,Biology,2.d,Distinguish between scientific hypotheses and scientific theories ,"evolution, "
HS,Science,Biology,2.e,"Plan and implement descriptive, comparative, and experimental investigations, including asking questions, formulating testable hypotheses, and selecting equipment and technology ","method, "
HS,Science,Biology,2.f,"Collect and organize qualitative and quantitative data and make measurements with accuracy and precision using tools such as calculators, spreadsheet software, data-collecting probes, computers, standard laboratory glassware, microscopes, various prepared slides, stereoscopes, metric rulers, electronic balances, gel electrophoresis apparatuses, micropipettors, hand lenses, Celsius thermometers, hot plates, lab notebooks or journals, timing devices, cameras, Petri dishes, lab incubators, dissection equipment, meter sticks, and models, diagrams, or samples of biological specimens or structures ",
HS,Science,Biology,2.g,"Analyze, evaluate, make inferences, and predict trends from data ","analysis, "
HS,Science,Biology,2.h,"Communicate valid conclusions supported by the data through methods such as lab reports, labeled drawings, graphic organizers, journals, summaries, oral reports, and technology-based reports. ","conclude, "
HS,Science,Biology,3,"Scientific processes. The student uses critical thinking, scientific reasoning, and problem solving to make informed decisions within and outside the classroom. ",
HS,Science,Biology,3.a,"In all fields of science, analyze, evaluate, and critique scientific explanations by using empirical evidence, logical reasoning, and experimental and observational testing, including examining all sides of scientific evidence of those scientific explanations, so as to encourage critical thinking by the student ","analysis, criticize, "
HS,Science,Biology,3.b,"Communicate and apply scientific information extracted from various sources such as current events, news reports, published journal articles, and marketing materials; ","newspaper article, "
HS,Science,Biology,3.c,Draw inferences based on data related to promotional materials for products and services ,"commercials, advertising, "
HS,Science,Biology,3.d,Evaluate the impact of scientific research on society and the environment ,"social, "
HS,Science,Biology,3.e,Evaluate models according to their limitations in representing biological objects or events ,"theory, "
HS,Science,Biology,3.f,Research and describe the history of biology and contributions of scientists. ,"darwin, mendel, "
HS,Science,Biology,4,Science concepts. The student knows that cells are the basic structures of all living things with specialized parts that perform specific functions and that viruses are different from cells. ,
HS,Science,Biology,4.a,Compare and contrast prokaryotic and eukaryotic cells ,"nucleus, "
HS,Science,Biology,4.b,"Investigate and explain cellular processes, including homeostasis, energy conversions, transport of molecules, and synthesis of new molecules ","dna, protein, metabolism, "
HS,Science,Biology,4.c,"Compare the structures of viruses to cells, describe viral reproduction, and describe the role of viruses in causing diseases such as human immunodeficiency virus (HIV) and influenza. ","AIDS, replication, ribosome, "
HS,Science,Biology,5,Science concepts. The student knows how an organism grows and the importance of cell differentiation. ,"specialized, epithelial, parietal, "
HS,Science,Biology,5.a,"Describe the stages of the cell cycle, including deoxyribonucleic acid (DNA) replication and mitosis, and the importance of the cell cycle to the growth of organisms ","division, duplication, "
HS,Science,Biology,5.b,"Examine specialized cells, including roots, stems, and leaves of plants; and animal cells such as blood, muscle, and epithelium ","epithelial, eukaryotic, organelle, "
HS,Science,Biology,5.c,"Describe the roles of DNA, ribonucleic acid (RNA), and environmental factors in cell differentiation ","genetic, binding, "
HS,Science,Biology,5.d,Recognize that disruptions of the cell cycle lead to diseases such as cancer. ,"mutation, apoptosis, "
HS,Science,Biology,6,"Science concepts. The student knows the mechanisms of genetics, including the role of nucleic acids and the principles of Mendelian Genetics. ","dominant, phenotype, ratio, recessive, "
HS,Science,Biology,6.a,"Identify components of DNA, and describe how information for specifying the traits of an organism is carried in the DNA ","nucleotide, pyrimidine, purine, polymer, "
HS,Science,Biology,6.b,Recognize that components that make up the genetic code are common to all organisms ,"DNA, nucleotide, "
HS,Science,Biology,6.c,Explain the purpose and process of transcription and translation using models of DNA and RNA ,"unzip, helicase, nucleotide, "
HS,Science,Biology,6.d,Recognize that gene expression is a regulated process ,"RNA, DNA, ribosome, "
HS,Science,Biology,6.e,Identify and illustrate changes in DNA and evaluate the significance of these changes ,"mutation, "
HS,Science,Biology,6.f,"Predict possible outcomes of various genetic combinations such as monohybrid crosses, dihybrid crosses and non-Mendelian inheritance ","dominant, recessive, "
HS,Science,Biology,6.g,Recognize the significance of meiosis to sexual reproduction ,"gamete, diploid, chromosome, "
HS,Science,Biology,6.h,"Describe how techniques such as DNA fingerprinting, genetic modifications, and chromosomal analysis are used to study the genomes of organisms. ","mutation, chromosome, "
HS,Science,Biology,7,Science concepts. The student knows evolutionary theory is a scientific explanation for the unity and diversity of life. ,"evolution, "
HS,Science,Biology,7.a,"Analyze and evaluate how evidence of common ancestry among groups is provided by the fossil record, biogeography, and homologies, including anatomical, molecular, and developmental ","evolution, "
HS,Science,Biology,7.b,"Analyze and evaluate scientific explanations concerning any data of sudden appearance, stasis, and sequential nature of groups in the fossil record ","evolution, "
HS,Science,Biology,7.c,"Analyze and evaluate how natural selection produces change in populations, not individuals; ","evolution, "
HS,Science,Biology,7.d,"Analyze and evaluate how the elements of natural selection, including inherited variation, the potential of a population to produce more offspring than can survive, and a finite supply of environmental resources, result in differential reproductive success ","evolution, "
HS,Science,Biology,7.e,Analyze and evaluate the relationship of natural selection to adaptation and to the development of diversity in and among species ,"evolution, "
HS,Science,Biology,7.f,"Analyze and evaluate the effects of other evolutionary mechanisms, including genetic drift, gene flow, mutation, and recombination ","evolution, natural selection, "
HS,Science,Biology,7.g,Analyze and evaluate scientific explanations concerning the complexity of the cell. ,"evolution, natural selection, "
HS,Science,Biology,8,Science concepts. The student knows that taxonomy is a branching classification based on the shared characteristics of organisms and can change as new discoveries are made. ,"supertype, subtype, "
HS,Science,Biology,8.a,Define taxonomy and recognize the importance of a standardized taxonomic system to the scientific community ,"supertype, subtype, classification, "
HS,Science,Biology,8.b,Categorize organisms using a hierarchical classification system based on similarities and differences shared among groups ,"taxonomy, supertype, subtype, "
HS,Science,Biology,8.c,"Compare characteristics of taxonomic groups, including archaea, bacteria, protists, fungi, plants, and animals. ","taxonomy, "
HS,Science,Biology,9,Science concepts. The student knows the significance of various molecules involved in metabolic processes and energy conversions that occur in living organisms. ,"metabolism, photosynthesis, "
HS,Science,Biology,9.a,"Compare the structures and functions of different types of biomolecules, including carbohydrates, lipids, proteins, and nucleic acids ",
HS,Science,Biology,9.b,Compare the reactants and products of photosynthesis and cellular respiration in terms of energy and matter ,"ATP, catabolic, "
HS,Science,Biology,9.c,Identify and investigate the role of enzymes ,"catalyst, inhibitor, activator, "
HS,Science,Biology,9.d,Analyze and evaluate the evidence regarding formation of simple organic molecules and their organization into long complex molecules having information such as the DNA molecule for self-replicating life. ,"carbon, "
HS,Science,Biology,10,Science concepts. The student knows that biological systems are composed of multiple levels. ,"complexity, "
HS,Science,Biology,10.a,"Describe the interactions that occur among systems that perform the functions of regulation, nutrient absorption, reproduction, and defense from injury or illness in animals; ","membrane, golgi, nucleus, ribosome, "
HS,Science,Biology,10.b,"Describe the interactions that occur among systems that perform the functions of transport, reproduction, and response in plants ","wall, nucleus, ribosome, cytoplasm, "
HS,Science,Biology,10.c,Analyze the levels of organization in biological systems and relate the levels to each other and to the whole system. ,"tissue, organ, system, organism, "
HS,Science,Biology,11,Science concepts. The student knows that biological systems work to achieve and maintain balance. ,"homeostasis, adaptation, "
HS,Science,Biology,11.a,Describe the role of internal feedback mechanisms in the maintenance of homeostasis ,"adaptation, equilibrium, conformer, regulator, "
HS,Science,Biology,11.b,"Investigate and analyze how organisms, populations, and communities respond to external factors ","hormones, responsiveness, "
HS,Science,Biology,11.c,Summarize the role of microorganisms in both maintaining and disrupting the health of both organisms and ecosystems ,"virus, bacteria, fungus, microbe, "
HS,Science,Biology,11.d,Describe how events and processes that occur during ecological succession can change populations and species diversity. ,"stochasticity, ecosystem, climate change, stochastic, "
HS,Science,Biology,12,Science concepts. The student knows that interdependence and interactions occur within an environmental system. ,
HS,Science,Biology,12.a,"Interpret relationships, including predation, parasitism, commensalism, mutualism, and competition among organisms ","predator, prey, parasite, symbiote, "
HS,Science,Biology,12.b,Compare variations and adaptations of organisms in different ecosystems; ,"natural selection, habitat, "
HS,Science,Biology,12.c,"Analyze the flow of matter and energy through trophic levels using various models, including food chains, food webs, and ecological pyramids; ","herbivore, carnivore, predator, prey, "
HS,Science,Biology,12.d,Recognize that long-term survival of species is dependent on changing resource bases that are limited; ,
HS,Science,Biology,12.e,Describe the flow of matter through the carbon and nitrogen cycles and explain the consequences of disrupting these cycles ,"photosynthesis, catalytic, catalyst, respiration, "
HS,Science,Biology,12.f,Describe how environmental change can impact ecosystem stability. ,"climate change, "
HS,Science,Chemistry,1,"Scientific processes. The student, for at least 40% of instructional time, conducts laboratory and field investigations using safe, environmentally appropriate, and ethical practices. ","expiriment, "
HS,Science,Chemistry,1.a,"Demonstrate safe practices during laboratory and field investigations, including the appropriate use of safety showers, eyewash fountains, safety goggles, and fire extinguishers ",
HS,Science,Chemistry,1.b,"Know specific hazards of chemical substances such as flammability, corrosiveness, and radioactivity as summarized on the Material Safety Data Sheets (MSDS) ","flammable, "
HS,Science,Chemistry,1.c,Demonstrate an understanding of the use and conservation of resources and the proper disposal or recycling of materials. ,"recycle, "
HS,Science,Chemistry,2,Scientific processes. The student uses scientific methods to solve investigative questions. ,"hypothesis, expiriment, "
HS,Science,Chemistry,2.a,"Understand the following definition of science: Science, as defined by the National Academy of Sciences, is the ""use of evidence to construct testable explanations and predictions of natural phenomena, as well as the knowledge generated through this process."" This vast body of changing and increasing knowledge is described by physical, mathematical, and conceptual models. Students should know that some questions are outside the realm of science because they deal with phenomena that are not scientifically testable. ","hypothesis, expiriment, "
HS,Science,Chemistry,2.b,Know that scientific hypotheses are tentative and testable statements that must be capable of being supported or not supported by observational evidence. Hypotheses of durable explanatory power which have been tested over a wide variety of conditions are incorporated into theories ,"hypothesis, expiriment, "
HS,Science,Chemistry,2.c,"Know that scientific theories are based on natural and physical phenomena and are capable of being tested by multiple independent researchers. Unlike hypotheses, scientific theories are well-established and highly-reliable explanations, but may be subject to change as new areas of science and new technologies are developed ","theory, hypothesis, "
HS,Science,Chemistry,2.d,Distinguish between scientific hypotheses and scientific theories ,"hypothesis, theory, "
HS,Science,Chemistry,2.e,"Plan and implement investigative procedures, including asking questions, formulating testable hypotheses, and selecting equipment and technology, including graphing calculators, computers and probes, sufficient scientific glassware such as beakers, Erlenmeyer flasks, pipettes, graduated cylinders, volumetric flasks, safety goggles, and burettes, electronic balances, and an adequate supply of consumable chemicals ",
HS,Science,Chemistry,2.f,Collect data and make measurements with accuracy and precision ,
HS,Science,Chemistry,2.g,"Express and manipulate chemical quantities using scientific conventions and mathematical procedures, including dimensional analysis, scientific notation, and significant figures","measure, mol, "
HS,Science,Chemistry,2.h,"Organize, analyze, evaluate, make inferences, and predict trends from data ","analysis, "
HS,Science,Chemistry,2.i,"Communicate valid conclusions supported by the data through methods such as lab reports, labeled drawings, graphs, journals, summaries, oral reports, and technology-based reports. ","writing, "
HS,Science,Chemistry,3,"Scientific processes. The student uses critical thinking, scientific reasoning, and problem solving to make informed decisions within and outside the classroom. ","hypothesis, "
HS,Science,Chemistry,3.a,"In all fields of science, analyze, evaluate, and critique scientific explanations by using empirical evidence, logical reasoning, and experimental and observational testing, including examining all sides of scientific evidence of those scientific explanations, so as to encourage critical thinking by the student ",
HS,Science,Chemistry,3.b,"Communicate and apply scientific information extracted from various sources such as current events, news reports, published journal articles, and marketing materials ","newspaper, advertisement, commercial, media, "
HS,Science,Chemistry,3.c,Draw inferences based on data related to promotional materials for products and services ,"advertisement, media, "
HS,Science,Chemistry,3.d,"Evaluate the impact of research on scientific thought, society, and the environment ",
HS,Science,Chemistry,3.e,Describe the connection between chemistry and future careers ,"chemist, engineer, "
HS,Science,Chemistry,3.f,Research and describe the history of chemistry and contributions of scientists. ,"Curie, Pasteur, Fisher, famous, "
HS,Science,Chemistry,4,Science concepts. The student knows the characteristics of matter and can analyze the relationships between chemical and physical changes and properties. ,"states, gas, solid, liquid, "
HS,Science,Chemistry,4.a,Differentiate between physical and chemical changes and properties ,"reaction, isomer, bonds, "
HS,Science,Chemistry,4.b,Identify extensive and intensive properties ,"scale, variant, invariant, viscocity, "
HS,Science,Chemistry,4.c,"Compare solids, liquids, and gases in terms of compressibility, structure, shape, and volume; ",
HS,Science,Chemistry,4.d,Classify matter as pure substances or mixtures through investigation of their properties. ,"homogeneous, heterogeneus, expiriment, "
HS,Science,Chemistry,5,Science concepts. The student understands the historical development of the Periodic Table and can apply its predictive power. ,"mendeleev, prediction, "
HS,Science,Chemistry,5.a,Explain the use of chemical and physical properties in the historical development of the Periodic Table; ,"mendeleev, characteristic, "
HS,Science,Chemistry,5.b,"Use the Periodic Table to identify and explain the properties of chemical families, including alkali metals, alkaline earth metals, halogens, noble gases, and transition metals; ","atomic weight, atomic number, "
HS,Science,Chemistry,5.c,"Use the Periodic Table to identify and explain periodic trends, including atomic and ionic radii, electronegativity, and ionization energy. ","radius, "
HS,Science,Chemistry,6,Science concepts. The student knows and understands the historical development of atomic theory. ,
HS,Science,Chemistry,6.a,"Understand the experimental design and conclusions used in the development of modern atomic theory, including Dalton's Postulates, Thomson's discovery of electron properties, Rutherford's nuclear atom, and Bohr's nuclear atom ",
HS,Science,Chemistry,6.b,"Understand the electromagnetic spectrum and the mathematical relationships between energy, frequency, and wavelength of light ","speed, "
HS,Science,Chemistry,6.c,"Calculate the wavelength, frequency, and energy of light using Planck's constant and the speed of light ",
HS,Science,Chemistry,6.d,Use isotopic composition to calculate average atomic mass of an element ,"isotope, periodic table, "
HS,Science,Chemistry,6.e,Express the arrangement of electrons in atoms through electron configurations and Lewis valence electron dot structures. ,"periodic table, "
HS,Science,Chemistry,7,"Science concepts. The student knows how atoms form ionic, metallic, and covalent bonds. ","ion, metal, "
HS,Science,Chemistry,7.a,"Name ionic compounds containing main group or transition metals, covalent compounds, acids, and bases, using International Union of Pure and Applied Chemistry (IUPAC) nomenclature rules ","bond, charge, "
HS,Science,Chemistry,7.b,"Write the chemical formulas of common polyatomic ions, ionic compounds containing main group or transition metals, covalent compounds, acids, and bases; ","molecular formula, equation, "
HS,Science,Chemistry,7.c,Construct electron dot formulas to illustrate ionic and covalent bonds ,"lewis, "
HS,Science,Chemistry,7.d,"Describe the nature of metallic bonding and apply the theory to explain metallic properties such as thermal and electrical conductivity, malleability, and ductility ","conducive, malleable, ductile, "
HS,Science,Chemistry,7.e,"Predict molecular structure for molecules with linear, trigonal planar, or tetrahedral electron pair geometries using Valence Shell Electron Pair Repulsion (VSEPR) theory. ","geometry, gillespie, "
HS,Science,Chemistry,8,Science concepts. The student can quantify the changes that occur during chemical reactions. ,
HS,Science,Chemistry,8.a,Define and use the concept of a mole ,"mol, molar, gram-molecule, "
HS,Science,Chemistry,8.b,"Use the mole concept to calculate the number of atoms, ions, or molecules in a sample of material ","mol, molar, gram-molecule, concentration, "
HS,Science,Chemistry,8.c,Calculate percent composition and empirical and molecular formulas ,"mol, molar, concentration, "
HS,Science,Chemistry,8.d,Use the law of conservation of mass to write and balance chemical equations ,"closed system, "
